120-1,1 sigma,120-2,1 sigma,300-1,1 sigma,300-2,1 sigma,600-1,1 sigma,600-2,1 sigma,1200-1,1 sigma,1200-2,1 sigma
1432.232009,16.45014784,1443.676712,16.76279754,983.6701275,9.138826401,1005.779534,8.686489805,436.0556578,5.216720437,423.5975464,2.937550304,248.1189476,5.297241544,247.6857067,2.393886391
1432.298202,14.25892591,1445.351502,18.73562749,983.7853906,7.971827563,1007.28773,7.998504254,440.9120979,5.998225723,426.154834,2.67988996,248.5852664,3.838652436,247.9304462,6.262243666
1433.642819,19.8203076,1472.923493,38.8564689,985.2316424,7.920063819,1007.838571,8.193615475,440.9671537,3.869830897,428.1544021,2.705111318,248.5954137,1.466920777,249.0620602,3.882479924
1437.934746,13.88236459,1488.279426,14.44930101,985.4133554,8.260297459,1007.956009,7.196475123,441.0065156,8.895689417,428.4437808,3.384289162,249.3002708,3.63536904,250.5106181,3.604213326
1438.429533,12.27732793,1498.765862,13.56915258,986.8586111,6.768796856,1008.876877,7.455813149,442.3105828,4.729502646,428.6705039,3.644467653,251.967506,1.920238926,251.4034513,4.520725268
1439.821888,12.5671724,1501.942711,12.12308198,996.3317325,8.187102431,1009.358408,7.374768227,444.197714,3.971927619,429.2305829,3.137187811,252.1272646,1.956591759,251.9243326,2.4755576
1441.153731,14.17843397,1635.703706,18.93997807,996.4537733,6.690943654,1009.414903,6.35139665,446.0643957,6.026752684,433.7044013,4.385524914,252.8865761,4.025654803,252.5327123,5.294186742
1442.689394,19.73759193,1637.252383,19.63859834,997.4957297,7.820176191,1010.018332,8.169006122,446.4437863,3.339260759,434.4051052,3.964865786,252.9353754,3.405448997,252.670411,15.35735203
1443.535201,44.39571999,1687.027607,12.35557968,999.3520983,8.842150858,1010.174181,7.774783764,446.5386614,4.044598329,435.8323066,3.199532643,253.7548801,2.102522439,253.1849103,4.108337386
1445.418875,28.99545723,1692.345538,11.36815217,1006.599512,7.666949343,1010.895127,7.118796016,449.6232959,4.357306019,442.6052971,3.32554811,254.3438415,1.845290376,254.2933884,2.416780115
1451.20322,12.41455957,1700.475308,10.02663323,1008.867425,9.761412451,1011.978478,6.562534706,450.6909391,3.629638375,446.3619684,3.890077189,254.3646467,1.818069846,255.5430207,2.840450957
1455.291381,19.32927615,1713.762058,12.29075071,1013.17438,7.352656843,1016.319051,7.457964163,452.1365397,4.149254848,448.8560108,3.069152079,254.8614226,1.767622542,256.1584489,4.812162953
1506.320124,24.21018294,1740.573039,22.02687791,1014.158629,6.582268835,1018.49912,7.298876727,453.3909157,4.263321906,448.9130621,3.288381513,255.7457564,4.170902401,257.6654697,2.364075927
1623.787608,20.79351741,1745.704832,12.78199328,1014.647071,8.79861969,1019.873794,7.278670977,454.1923438,3.515310935,458.3529267,4.98952535,256.077604,7.407625258,259.3056803,2.851218237
1630.276849,18.5669932,1751.001713,12.36560441,1015.944416,7.485685774,1022.374814,6.714026556,467.0696336,4.450846262,458.913561,3.328009944,256.2304575,5.01599184,259.4369426,2.413314417
1633.431985,12.8382153,1759.578812,11.35185971,1017.64305,7.494516052,1023.141678,6.680194266,468.871597,3.871200189,463.2838165,5.259628503,256.5187339,8.96117306,260.7818456,3.40621064
1647.094665,18.29688696,1769.187924,14.05418538,1018.005232,8.468338268,1024.461564,7.50087732,521.9114397,3.964442244,467.8785306,4.237068326,258.1438797,5.021372088,261.4985558,8.828674651
1692.547465,15.79340284,1830.577157,16.7928277,1018.734407,7.24871291,1027.493689,6.763113983,523.2065043,4.078272356,512.3215343,11.12616191,258.6048411,4.606765721,261.6283514,1.951599731
1730.849412,16.13078138,1842.533059,13.48423517,1020.874998,9.24555597,1030.669443,6.638148667,523.9204589,4.460347892,541.7573855,4.68806457,258.6657994,2.702125566,261.8584098,2.346552361
1741.387092,15.21436173,1873.867276,15.13968269,1020.968377,9.286998088,1030.920243,9.404300493,528.7453437,4.133626872,542.7548714,3.975529575,258.8506327,4.466479546,262.0464575,5.245150531
1742.862639,16.77958878,1895.304526,12.65951362,1022.893686,6.587282561,1032.422873,8.708605054,553.6345185,4.273508321,570.5915591,3.478371757,259.0528105,1.640745683,264.8233382,2.113985708
1766.545923,11.93577601,1923.648042,16.39115654,1025.131392,7.751820539,1032.705777,8.36105248,569.662795,5.521238199,570.655195,4.259555278,259.7216402,2.635634854,265.9402208,3.102016708
1798.85189,14.2137108,2580.216174,9.23312464,1025.216331,9.948282698,1033.242854,11.68918558,574.0388696,4.919756938,573.4929902,4.887243212,263.305807,3.211907766,267.7811966,1.759747915
1837.765858,15.44218031,2666.941851,9.066410699,1025.451207,9.238099098,1036.102194,7.372476682,579.1959644,4.567009932,579.0458345,3.859920536,264.3959938,1.952885858,268.1722029,2.781741602
1839.030836,12.38888443,2683.640026,11.96979917,1026.725204,7.61946636,1037.474798,8.051476001,582.7613959,5.406591396,579.283204,3.843892147,264.4173478,5.526361741,270.2198336,4.558542569
1840.281062,15.9995511,2696.358029,10.64468552,1032.884813,6.555145012,1040.24054,7.259542835,584.5376127,4.420902305,580.3825553,5.018611219,266.7179403,3.814745175,273.4032957,2.166426041
1888.585072,10.87500162,2703.186382,10.40328531,1033.517114,8.238107963,1041.436728,6.632064114,588.106646,6.046021255,583.4405774,7.246119942,269.2315288,2.06361548,274.6693056,3.321926523
1898.999491,10.79313328,2730.205639,11.25996109,1035.950268,9.146311708,1042.207101,6.667295677,598.2477715,4.691237437,594.89073,5.31140493,269.4001793,2.110566273,279.7934782,2.099702102
2056.77877,18.60848101,2736.214129,9.903094873,1038.341231,7.122716284,1043.490011,6.282537574,604.8483344,4.057394406,595.6956123,5.342178137,279.7018508,2.156411759,280.0255122,1.750782052
2098.478164,9.441833307,2768.248066,9.972816474,1040.700672,7.638382087,1043.871594,7.434264021,623.0586658,6.376359382,595.853888,5.405538329,280.9759779,2.303650055,283.0100113,5.187991744
2119.816239,13.4423841,2768.588287,9.009682537,1041.564439,8.88128423,1044.099947,7.261130585,636.198561,4.762856467,604.6566735,4.545290797,281.2915536,2.650942533,283.9773947,2.214933175
2674.563314,10.26566974,2778.08596,11.15526392,1041.586377,7.540624435,1044.114761,8.13362392,640.7959095,6.604308755,605.5395686,4.187458572,282.8421513,1.992755284,285.7969059,4.31493166
2686.235088,10.12662132,,,1042.898478,8.912344473,1044.437141,7.774795271,706.9941927,9.42742539,607.869534,4.605945004,285.6819276,1.63548801,286.5148879,2.529434662
2698.528366,10.87187068,,,1043.154383,7.709000077,1045.54801,5.640795809,711.0474641,5.593286016,609.2156682,5.263445057,286.2943463,1.948659112,287.1746723,2.35185052
2716.961113,11.62617142,,,1044.638222,7.18200921,1047.139591,8.16529709,748.3341581,7.134795728,611.7175518,6.165886614,289.9576666,11.47995761,292.1346012,3.35224249
2740.919053,9.344523985,,,1045.778324,7.684436905,1050.771389,6.593323126,768.1624293,6.403914683,612.6777712,4.840230805,290.1004649,2.616883453,301.9341003,4.454018871
,,,,1051.38691,9.648994608,1056.29026,7.009546114,811.3813723,6.749364916,618.560096,6.666795709,298.3656988,2.944463705,304.346767,26.7962207
,,,,1052.216206,10.18692094,1058.796979,16.86360094,818.6439174,7.973223795,621.4184022,6.285961986,305.2894193,2.911183899,305.1166011,5.621670276
,,,,1052.896684,9.815814458,1060.955175,8.61008495,827.8515678,5.89867805,621.7537708,4.298131235,308.7276276,2.508671692,313.1065509,2.078477278
,,,,1056.690907,19.11259638,1061.822642,7.556012724,830.4932271,7.604444554,628.6595545,4.202086383,310.6915168,3.317848806,315.3490312,2.340750308
,,,,1059.308016,9.31773842,1061.860731,7.348553382,882.6336313,6.687004438,643.6968345,5.972425996,311.5276192,2.198068214,320.9277743,6.890986247
,,,,1059.694983,8.789711595,1062.28,8.898139893,913.4061919,8.494966262,693.1540287,7.883497277,340.28982,2.647677767,322.6405169,7.256434957
,,,,1060.643744,8.549448819,1063.5656,13.12852678,917.2882457,7.039320807,706.8552956,4.624552738,340.2952782,2.683212367,324.3275723,4.288303347
,,,,1062.535983,9.377813371,1063.623295,6.906062283,917.4951205,9.344496997,865.7591968,9.294747148,341.6064822,3.036917527,330.4168367,2.365541139
,,,,1064.796129,9.270981038,1066.840559,7.04491227,920.4272722,10.75078959,889.9872066,7.626028956,343.274775,2.474684252,333.3600144,5.760255829
,,,,1068.522473,8.306634331,1066.857725,6.997711662,926.7108034,6.281754654,902.8995153,7.542869888,344.205482,1.904250571,333.7710166,2.797200861
,,,,1071.744071,9.521537102,1067.009197,6.679762624,943.566882,7.446391296,904.6676144,11.78934252,345.0476365,2.348444478,333.8276829,2.678368501
,,,,1072.920946,8.576954541,1067.0863,9.519092489,952.9329807,5.937987008,917.9940696,8.988995202,354.8554307,6.546048663,336.9546147,2.79929838
,,,,1075.319139,10.53257291,1069.274247,11.79477811,954.2331533,6.377497898,920.2086311,8.509084763,358.5059576,2.384255153,339.607217,2.257855925
,,,,1076.726873,8.532852834,1072.024645,8.651704544,965.9455033,9.069452127,922.9905851,5.531064334,365.5712592,2.62821356,340.7588374,3.428112886
,,,,1077.270771,8.115296595,1073.145958,9.068044583,966.1567936,6.840646871,931.3562438,8.108773512,368.8013614,3.443200652,349.097262,2.689119343
,,,,1078.272842,7.531719033,1073.810741,5.836783927,966.4545278,6.598295792,952.5188173,8.492014292,369.3213748,3.279962076,350.4566977,3.164324757
,,,,1078.474134,7.15447551,1074.953539,6.889154211,972.0839501,7.733233347,956.5649714,11.00909464,370.4089578,3.958446315,355.9307492,4.631021267
,,,,1078.634641,8.509244277,1075.065981,7.396012971,973.0772947,8.645327802,968.2723386,5.956474346,375.8767519,3.263654883,365.2365833,3.707174073
,,,,1083.224447,10.11257648,1078.032481,7.088757548,973.5398839,6.515382961,970.6842281,14.07190947,379.0614211,2.901884736,366.9042972,2.441353802
,,,,1084.748848,7.997752522,1079.708304,7.120856254,979.1588142,7.220865374,974.5700445,7.105509457,386.54003,17.9867827,370.5161442,2.468674305
,,,,1090.227303,10.93329839,1083.148723,6.334337906,979.2344579,7.830649521,979.4948232,6.5514153,390.1284766,5.704270904,372.0536505,3.039225368
,,,,1093.433874,8.406798059,1084.509424,6.219019659,985.3827375,6.45631587,981.9106774,6.930267308,393.362109,3.151584529,373.0014299,13.85765539
,,,,1093.953318,10.87582518,1087.34204,9.511318396,990.2603948,6.246266799,985.0442003,7.955964783,393.5076049,4.820930006,376.7216828,3.264563362
,,,,1095.60506,8.23074262,1087.518787,8.365381568,991.6654386,7.740846837,985.1786247,8.679616538,400.6340088,2.729705219,377.303217,3.8991559
,,,,1097.096093,9.341348823,1091.980927,8.173104455,992.2753267,6.401453062,985.9513303,9.05841869,404.0279376,5.187280481,378.7843368,4.635736025
,,,,1101.001242,8.73999276,1098.579122,8.002944808,994.2980547,6.233339979,986.388964,8.016718694,405.0505741,2.972518248,380.2746166,2.555916333
,,,,1101.941764,8.192676086,1100.194654,7.385198021,995.8160035,6.357057219,988.0219152,9.099671322,405.1612959,13.47036242,381.0778375,5.193196432
,,,,1103.128433,9.080509783,1101.354322,11.30300529,1000.779632,6.5249409,989.6486391,5.571609203,405.8247094,2.837122665,389.4928094,2.933865144
,,,,1104.090203,8.337537612,1102.097595,6.225710351,1001.082699,8.496006859,990.5917125,6.176588381,407.4616538,2.890003849,393.2811719,5.250109336
,,,,1105.60315,8.260551542,1102.107688,8.194753066,1002.186931,6.305481615,991.0476717,6.821536996,407.8703944,6.094191793,395.0503779,4.020022197
,,,,1105.694181,10.46016935,1104.637319,7.842557213,1004.402838,7.489289955,991.3671062,6.70532518,407.9271448,11.25322374,399.7853975,2.460807583
,,,,1111.554448,8.887137474,1106.679508,8.503571717,1005.191445,10.33172393,996.2939931,7.056513558,408.031188,2.970932674,402.9133048,7.027516228
,,,,1113.066384,9.768256225,1107.328734,8.271170439,1006.922511,11.12791811,997.0306373,9.383530695,409.4950561,3.559801164,404.8052582,3.938534759
,,,,1118.376883,10.77797176,1108.874083,10.74187895,1007.465981,13.06365639,998.4643532,6.951186604,409.5091419,3.825908816,406.0373793,9.001534326
,,,,1118.497139,7.459661343,1110.730465,8.231688842,1007.497099,9.751320388,999.9433772,5.724714084,409.9479008,2.791673411,406.510747,6.199937357
,,,,1118.58476,8.363790173,1113.325963,8.038005723,1008.281999,8.324612028,1000.262523,8.018135592,411.0406927,3.043359046,407.2891862,2.674291685
,,,,1126.326924,8.195217709,1113.92088,7.923295757,1008.419198,5.938204749,1003.004838,6.93818788,411.8774971,3.415510746,408.5039828,5.783490541
,,,,1126.688569,8.167900431,1115.841027,6.209774692,1008.800314,10.27708477,1003.382949,6.572831408,411.9616449,3.619619115,408.5698186,4.207262959
